"id","country","useable","black","silver","gray","white","maroon","red","purple","fuchsia","green","lime","olive","yellow","navy","blue","teal","aqua","hue","saturation","value","textArea","nonTextArea","maxLevel","averageLevel","numOfLeaves","numOf1stLevelNodes","numOf2ndLevelNodes","numOf3rdLevelNodes","percentageOfLeafArea","percentageOfLeafArea2","numOfTextGroup","numOfImageArea","colorfulness1","colorfulness2","colorNumQuadTreeLeaves","intensityNumQuadTreeLeaves","colorHorizontalSymmetry","colorVerticalSymmetry","colorHorizontalBalance","colorVerticalBalance","intensityHorizontalSymmetry","intensityVerticalSymmetry","intensityHorizontalBalance","intensityVerticalBalance","colorEquilibrium","intensityEquilibrium","colorfulnessScore","complexityScore"
"606","standard",1,0.0266380310058594,0.901708960533142,0.0452781692147255,0.87082827091217,0.0372734069824219,0.0248794555664062,0.0466285720467567,3.28063979395665e-05,0.0261665340512991,0,0.0651893615722656,0.00568389892578125,0.0344741828739643,3.0517578125e-05,0.0476028434932232,0.00570144644007087,11.8394355773926,16.2049118041992,232.78637008667,300889,222124,7,4.66666666666667,57,1,3,18,39.9027252197266,43.390605296343,27,5,43.0820771048951,11.5389649537485,441,4238,0.993864440917969,0.930583190917969,0.159669314313503,1,0.812860107421875,0.630831909179687,0.314251945237861,0.26197766899332,0.6982421875,0.962890625,2.81796167189572,7.63436007004081
"616","standard",1,0.000247192394454032,0.0874931365251541,0.0251411441713572,0.787864685058594,0.000502777111250907,0.00684356689453125,0.00543289165943861,1.60217277880292e-05,0.000804901123046875,7.62939453125e-06,0.00827331561595201,0.0123512269929051,0.000678253185469657,0.000819396984297782,0.00821304321289062,0.00528945913538337,8.63769073486328,15.3389747619629,238.435426330566,236084,126035,11,7.54621848739496,119,1,2,8,27.6274871826172,27.8889460518533,24,19,43.527986042821,8.75187635749178,217,943,0.959315490722656,0.959315490722656,1,1,0.976249694824219,0.880928039550781,0.077456136039711,0.998324079523066,0.56640625,0.586328125,2.93645626311418,7.36432919514535
"618","standard",1,0.00745315570384264,0.226933285593987,0.0631645172834396,0.650087714195251,0.000147247308632359,0,0.00807342492043972,0,0.0114448545500636,0.000420379627030343,0.00187377934344113,0.00292739877477288,0.0369575507938862,0.0121772764250636,0.0848884582519531,0.0180313102900982,32.8294486999512,53.8390930175781,235.170642852783,107453,349604,8,4.90909090909091,33,1,3,7,34.8706817626953,34.97999424471,13,3,71.1666922899194,6.28116581301105,289,1265,0.965689086914063,0.960736083984375,0.104596346493813,1,0.923037719726562,0.86292724609375,0.600052430261794,0.787529392351801,0.5943359375,0.6142578125,2.54375673394331,5.47971574268887
"619","standard",1,0.0304496772587299,0.835166931152344,0.136527255177498,0.759085834026337,0.0138809205964208,0,0.0921348556876183,0,0.052032470703125,0,0.0438529960811138,0.00137710571289062,0.0746604949235916,0.00659332284703851,0.161589056253433,0.00833435077220201,44.0484725952148,42.4459327697754,228.972793579102,194743,412680,8,5.5,36,1,3,7,46.3426971435547,46.8551756269747,10,6,59.9561155583997,11.8540392539204,1698,1022,0.810560607910156,0.713392639160156,0.0606341644375891,0.866571713431135,0.935052490234375,0.861825561523437,0.51165666105558,0.495045932251808,0.772265625,0.6771484375,4.0152771589055,6.73713543411847
"621","standard",1,0.0638038665056229,0.740653216838837,0.157247930765152,0.666971564292908,0.0699882507324219,0.000669860863126814,0.106272123754025,0.00014495849609375,0.103180691599846,0.000344085681717843,0.100482940673828,0.0313049331307411,0.0921905487775803,0.00376281747594476,0.162864685058594,0.00698776263743639,28.8156547546387,55.6614204406738,221.636161804199,146059,339558,6,4.33333333333333,39,3,6,15,37.0496368408203,37.0496368408203,16,6,71.3231105804533,18.2475650552884,2407,90,0.787454223632812,0.773406982421875,0.675619846632316,0.646917675288472,0.986466979980469,0.986466979980469,1,1,0.7912109375,0.31875,4.46876776487835,6.20939192815818
"622","standard",1,0.0494750961661339,0.799270629882812,0.147507473826408,0.66834944486618,0.0354583747684956,0,0.0922752395272255,0,0.0798385590314865,0,0.0334297195076942,0.001288604689762,0.108553312718868,0.00700988760218024,0.169169619679451,0.00854110717773438,33.1326316833496,45.5325233459473,221.754271697998,176107,328525,6,4.41935483870968,31,2,3,6,38.5003662109375,38.5003662109375,8,3,61.027728539253,13.8773623430677,1854,271,0.727816772460937,0.686578369140625,0.399479182346389,0.671856384538134,0.96124267578125,0.959066772460938,0.974265691418068,1,0.7736328125,0.601171875,3.72030598207841,5.78516927734853
"623","standard",1,0.141506195068359,0.712464928627014,0.133622735738754,0.656310260295868,0.142569735646248,4.9591064453125e-05,0.078166201710701,0,0.190022274851799,0,0.0797950774431229,0.00242080679163337,0.165233612060547,0.00192718510515988,0.148941040039062,0.00604476919397712,30.2206840515137,51.4711631774902,204.689192962647,198295,284000,10,6.5,56,1,3,6,36.7961883544922,36.9985240327965,21,6,60.4644793001233,8.72404343789471,2308,465,0.849714660644531,0.864356994628906,0.363724418288951,0.0685436104073533,0.985964965820312,0.934872436523438,0.208294853496768,0.949883134456883,0.89609375,0.5220703125,4.12820313077818,6.77615149255892
"635","standard",1,0.109235383570194,0.78650438785553,0.068872831761837,0.732393622398376,0.137625887989998,0.00229797372594476,0.0899085998535156,0.000189971920917742,0.120621487498283,0,0.0893959030508995,0.00529098510742188,0.121721647679806,0.0260856635868549,0.0760429352521896,0.0316856391727924,16.4646598815918,22.4603851318359,213.441870880127,363974,127238,10,6.51315789473684,76,1,4,7,37.4765014648438,37.7418740165224,21,9,44.7083316031786,11.2189034556478,1045,2160,0.84337158203125,0.842633056640625,1,1,0.942240905761719,0.724186706542969,0.0800489031857219,0.937009794411587,0.625390625,0.6689453125,2.96468217357512,7.95421286504292
"641","standard",1,0.072046659886837,0.825591266155243,0.0548378005623817,0.800380706787109,0.106114961206913,0.00222625723108649,0.046844482421875,0.00018310546875,0.0912605300545692,0,0.0389579758048058,0.00729904184117913,0.109330751001835,0.0278839115053415,0.0426261909306049,0.0392250046133995,15.6453948974609,22.6345153808594,225.201544189453,422250,23745,8,5.50526315789474,95,1,5,9,34.0267181396484,34.2676626426043,26,5,47.9077695032455,12.1183909956086,391,4976,0.931646728515625,0.931393432617188,1,1,0.46256103515625,0.683270263671875,0.813757729129529,0.290250083011482,0.4125,0.7958984375,2.24693683371647,8.29232748402301
"647","standard",1,0.0216361992061138,0.942960381507874,0.00633392343297601,0.934703826904297,0.0484275817871094,0.000804138195235282,0.0118278507143259,7.01904282323085e-05,0.0361335761845112,0,0.010412598028779,0.00172576901968569,0.0374633781611919,0.000237274172832258,0.010125732049346,0.00132827763445675,4.18139572143555,5.50997543334961,242.990202331543,72831,86578,8,5.87755102040816,49,1,3,4,12.1619415283203,13.1677136638292,18,6,25.7142580204421,5.3026856567777,4,1037,1,1,NA,NA,0.961567687988281,0.857667541503906,0.370635850277103,0.949075586701067,0,0.54296875,2.63389208104497,3.70141675483204
