"uuid","page_condition","page_id","rt","adjust_rt","scrolling_time","num_words","correct_rate","img_width","age","device","dyslexia","education","gender","language","retake","dyslexia_bin","english_native","Flesch_Kincaid","speed","rsd"
"1807eb20-6d3a-4efc-a8c4-8901ef1fca5f",1,"3-2",41052,31295,9757,120,1,1212,23,"laptop",0,"college",1,"English",0,0,"Y",10.697,230.068701070459,1
"18ff52ad-d2e9-4d03-b775-d01403f19b51",0,"3-1",29472,23666,5806,106,1,1423,19,"laptop",0,"high school",1,"English",0,0,"Y",11.081,268.739964506042,0.5
"18ff52ad-d2e9-4d03-b775-d01403f19b51",1,"3-2",31792,27569,4223,120,1,1423,19,"laptop",0,"high school",1,"English",0,0,"Y",10.697,261.162900359099,0.5
"1ab057fb-ac2e-4650-88bc-ede767006043",1,"2-2",52798,52180,618,166,1,1135,16,"desktop",0,"pre-high school",1,"German",0,0,"N",7.638,190.877730931391,4
"1b57438e-b823-4e70-95b2-c4659c379273",0,"1-2",104891,101106,3785,383,1,1438,58,"desktop",0,"college",1,"English",0,0,"Y",10.485,227.286214467984,2.5
"1b57438e-b823-4e70-95b2-c4659c379273",1,"1-1",101876,98586,3290,324,0.666666666666667,1438,58,"desktop",0,"college",1,"English",0,0,"Y",9.6,197.188241738178,2
"1d254f4a-ccab-4a27-8b17-ee0f21b472b4",0,"1-2",85632,65796,19836,383,0.666666666666667,880,53,"tablet",0,"professional school",1,"English",0,0,"Y",10.485,349.261353273755,2.5
"1d254f4a-ccab-4a27-8b17-ee0f21b472b4",1,"1-1",128681,79068,49613,324,0.666666666666667,880,53,"tablet",0,"professional school",1,"English",0,0,"Y",9.6,245.864319320079,3
"1ea0eab0-36ee-4a7f-a855-db0d0c545a87",0,"3-1",28585,22069,6516,106,1,880,32,"tablet",0,"graduate school",1,"English",0,0,"Y",11.081,288.187049707735,0.5
"1ea0eab0-36ee-4a7f-a855-db0d0c545a87",1,"3-2",37412,33456,3956,120,1,880,32,"tablet",0,"graduate school",1,"English",0,0,"Y",10.697,215.208034433286,1
"203a6897-eaef-44f2-ac30-f8e9d95fa886",0,"3-1",67378,52923,14455,106,1,880,58,"tablet",0,"PhD",1,"English",0,0,"Y",11.081,120.174593277025,2
"203a6897-eaef-44f2-ac30-f8e9d95fa886",1,"3-2",63632,49335,14297,120,1,880,58,"tablet",0,"PhD",1,"English",0,0,"Y",10.697,145.941015506233,3
"20707557-d86f-471c-bd39-ce12b5d290c3",0,"3-1",45096,35511,9585,106,0.666666666666667,1294,19,"laptop",0,"college",1,"English",0,0,"Y",11.081,179.099433978204,0.5
"215f1a41-46c0-40a1-85ef-c155bf665a45",0,"3-1",31929,28933,2996,106,1,1135,25,"laptop",0,"graduate school",1,"English",0,0,"Y",11.081,219.818200670515,1
"215f1a41-46c0-40a1-85ef-c155bf665a45",1,"3-2",34102,30683,3419,120,1,1135,25,"laptop",0,"graduate school",1,"English",0,0,"Y",10.697,234.657628002477,1.5
"24aa2b4b-800c-4a4a-bac9-727b1065e142",0,"1-1",47311,39928,7383,324,1,1281,25,"laptop",0,"college",1,"English",0,0,"Y",9.6,486.876377479463,2
"24aa2b4b-800c-4a4a-bac9-727b1065e142",1,"1-2",43019,36409,6610,383,1,1281,25,"laptop",0,"college",1,"English",0,0,"Y",10.485,631.162624625779,1.5
"24c1cc74-742c-4c92-860a-7a2fa7659727",0,"1-2",35440,31058,4382,383,0.666666666666667,1438,27,"laptop",1,"college",1,"English",0,1,"Y",10.485,739.905982355593,2.5
"24c1cc74-742c-4c92-860a-7a2fa7659727",1,"1-1",60213,50413,9800,324,0.666666666666667,1438,27,"laptop",1,"college",1,"English",0,1,"Y",9.6,385.6148215738,1.5
"253f1616-4a99-4ebf-8086-6ecb195f5fc8",1,"2-2",34486,31772,2714,166,1,1281,45,"desktop",0,"graduate school",1,"English",0,0,"Y",7.638,313.483570439381,3.5
"255498f6-e198-4a41-a057-5d4ddc6af950",0,"3-1",47218,42351,4867,106,1,1137,23,"laptop",0,"high school",1,"Swedish",0,0,"N",11.081,150.173549621024,1.5
"255498f6-e198-4a41-a057-5d4ddc6af950",1,"3-2",45733,44475,1258,120,1,1137,23,"laptop",0,"high school",1,"Swedish",0,0,"N",10.697,161.888701517707,1.5
"264b7cb3-a20d-4fe4-9f75-2a0dda8f6300",1,"1-1",29435,26032,3403,324,0.666666666666667,1438,44,"desktop",0,"graduate school",1,NA,0,0,NA,9.6,746.773202212661,1
"276e0af6-a9e3-4de0-8f77-6dbf7f9e3c15",0,"2-1",15293,14786,507,145,0.666666666666667,1333,21,"laptop",0,NA,0,"English",0,0,"Y",8.337,588.394427160828,0.5
"276e0af6-a9e3-4de0-8f77-6dbf7f9e3c15",1,"2-2",18822,18022,800,166,1,1333,21,"laptop",0,NA,0,"English",0,0,"Y",7.638,552.657862612363,0.5
"28c7542a-c3f8-419b-80a0-8f4c706e2c61",0,"1-1",125616,117829,7787,324,1,880,19,"tablet",0,"high school",1,"English",0,0,"Y",9.6,164.98485092804,2
"28c7542a-c3f8-419b-80a0-8f4c706e2c61",1,"1-2",104441,84786,19655,383,1,880,19,"tablet",0,"high school",1,"English",0,0,"Y",10.485,271.035312433656,3
"2969f3fa-0544-46ff-b5ad-5f14fa846a7f",0,"3-2",49322,43812,5510,120,1,880,58,"tablet",2,"professional school",1,"English",0,1,"Y",10.697,164.338537387017,2
"2969f3fa-0544-46ff-b5ad-5f14fa846a7f",1,"3-1",42942,32608,10334,106,1,880,58,"tablet",2,"professional school",1,"English",0,1,"Y",11.081,195.0441609421,2.5
"2a29612d-37ba-41fa-b45f-004677aa5908",1,"2-2",22143,18757,3386,166,1,1137,28,"laptop",0,"graduate school",1,"English",0,0,"Y",7.638,531.001759343179,2
"2a4a5564-46af-455d-ac9d-673d538c2e7f",0,"3-2",34801,32512,2289,120,1,1438,52,"desktop",0,"graduate school",0,"English",0,0,"Y",10.697,221.456692913386,2
"2a4a5564-46af-455d-ac9d-673d538c2e7f",1,"3-1",26679,25613,1066,106,1,1438,52,"desktop",0,"graduate school",0,"English",0,0,"Y",11.081,248.311404364971,1.5
"2baf6ca8-ba5b-45f6-860e-359b139766f2",1,"2-2",26169,24517,1652,166,1,1438,34,"desktop",2,"professional school",0,"English",0,1,"Y",7.638,406.24872537423,1
"2de720d4-ef3b-4064-9437-2886a4fb5d23",1,"3-2",37025,28235,8790,120,1,1281,17,"laptop",0,"high school",0,"English",0,0,"Y",10.697,255.00265627767,1
"2e174514-6907-4570-ab73-1d42a3521a95",0,"1-1",44262,42612,1650,324,0.666666666666667,1438,23,"laptop",0,"graduate school",0,"Finnish",0,0,"N",9.6,456.209518445508,1
"2e174514-6907-4570-ab73-1d42a3521a95",1,"1-2",55096,52770,2326,383,0.666666666666667,1438,23,"laptop",0,"graduate school",0,"Finnish",0,0,"N",10.485,435.474701534963,1
"2e1d768a-de6d-4d56-ba2d-acc494ec8687",0,"2-2",83170,72972,10198,166,1,1438,28,"laptop",0,"college",0,"English",0,0,"Y",7.638,136.490708765006,2
"2e1d768a-de6d-4d56-ba2d-acc494ec8687",1,"2-1",78052,72448,5604,145,1,1438,28,"laptop",0,"college",0,"English",0,0,"Y",8.337,120.086130742049,2
"2ee3c271-be10-41d8-b778-9c5d7d5b6e52",0,"1-1",96523,94332,2191,324,1,1212,32,"laptop",0,"high school",0,"English",0,0,"Y",9.6,206.080651316626,2.5
"2ee3c271-be10-41d8-b778-9c5d7d5b6e52",1,"1-2",90314,86069,4245,383,1,1212,32,"laptop",0,"high school",0,"English",0,0,"Y",10.485,266.995085338507,2.5
"2fbee4a6-4fd6-4fa0-83b2-b180fee815e0",0,"2-1",43382,42791,591,145,0.666666666666667,1135,20,"laptop",0,"high school",1,"Chinese",0,0,"N",8.337,203.313780935243,1.5
"2fbee4a6-4fd6-4fa0-83b2-b180fee815e0",1,"2-2",33193,31671,1522,166,1,1135,20,"laptop",0,"high school",1,"Chinese",0,0,"N",7.638,314.483281235199,1.5
"30a1bff8-ce7b-4ea8-bfd0-579a06f06269",0,"3-1",24550,22444,2106,106,1,1135,22,"laptop",0,"college",0,"English",0,0,"Y",11.081,283.371947959366,1
"30f84640-2830-433d-94f8-24d5a11d93c1",0,"3-2",33550,31893,1657,120,1,1212,22,"laptop",0,"graduate school",1,"Vietnamese",0,0,"N",10.697,225.754867839338,0.5
"30f84640-2830-433d-94f8-24d5a11d93c1",1,"3-1",24315,23281,1034,106,1,1212,22,"laptop",0,"graduate school",1,"Vietnamese",0,0,"N",11.081,273.184141574675,0.5
"332f3d22-0b01-4c63-9df3-aed8cc851469",1,"2-2",19664,18915,749,166,0.666666666666667,1438,22,"laptop",0,"college",0,"English",0,0,"Y",7.638,526.566217287867,0.5
"336708c2-b201-4f59-803b-092eea309d6b",0,"2-1",34066,32935,1131,145,0.666666666666667,880,33,"tablet",0,"graduate school",1,"English",0,0,"Y",8.337,264.156672233187,1
"336708c2-b201-4f59-803b-092eea309d6b",1,"2-2",35801,25332,10469,166,1,880,33,"tablet",0,"graduate school",1,"English",0,0,"Y",7.638,393.178588346755,1
"345600be-501f-47c7-b3fc-124fccea4b69",0,"1-2",129078,125270,3808,383,1,1366,20,"laptop",0,"college",1,"Chinese",0,0,"N",10.485,183.443761475214,2
"345600be-501f-47c7-b3fc-124fccea4b69",1,"1-1",128844,126553,2291,324,1,1366,20,"laptop",0,"college",1,"Chinese",0,0,"N",9.6,153.611530346969,2
"34604f27-94d7-4af3-9b8d-7c9fa836e7cb",0,"2-2",33873,32174,1699,166,1,1212,21,"laptop",0,"high school",2,"English",0,0,"Y",7.638,309.566730900727,1.5
"34604f27-94d7-4af3-9b8d-7c9fa836e7cb",1,"2-1",31583,30424,1159,145,1,1212,21,"laptop",0,"high school",2,"English",0,0,"Y",8.337,285.958453852222,1
"347a69b8-232d-4315-8829-4c6a7374bf6b",0,"3-2",21657,11362,10295,120,1,1135,19,"laptop",0,"college",1,"English",0,0,"Y",10.697,633.691251540222,1.5
"347a69b8-232d-4315-8829-4c6a7374bf6b",1,"3-1",16716,12949,3767,106,1,1135,19,"laptop",0,"college",1,"English",0,0,"Y",11.081,491.157618348907,1
"352a4090-79aa-4827-b4b0-f1bffd883940",0,"3-1",72225,67781,4444,106,1,1279,48,"desktop",0,"graduate school",0,"English",0,0,"Y",11.081,93.8316047269884,2.5
"352a4090-79aa-4827-b4b0-f1bffd883940",1,"3-2",48856,47927,929,120,1,1279,48,"desktop",0,"graduate school",0,"English",0,0,"Y",10.697,150.228472468546,1.5
"373083c9-9167-4342-aeef-ada22adbfb20",0,"3-2",32360,26648,5712,120,1,1425,21,"desktop",0,"high school",2,"English",0,0,"Y",10.697,270.189132392675,0.5
"388d3669-9c70-453c-ad4c-0d18eedac5f9",0,"1-1",60387,58702,1685,324,1,1438,24,"desktop",0,"graduate school",0,"Other",0,0,"N",9.6,331.164185206637,1
"3979e883-9ca7-4771-a299-0d6a366f1a60",0,"1-1",132243,126244,5999,324,0.666666666666667,1214,24,"laptop",0,"college",1,"English",0,0,"Y",9.6,153.987516238395,5
"417336ae-daf7-42ca-ae3d-7ebc05e0c43f",0,"3-1",49228,41906,7322,106,1,1135,22,"laptop",0,"college",1,"Dutch",0,0,"N",11.081,151.768243210996,8.5
